Symbol,Description,"Relative volume, 1 day","Price change %, 1 day","Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months","Performance %, 1 year","Performance %, All Time",Industry,Price,Price - Currency,"High, 52 weeks","High, 52 weeks - Currency","Simple moving average, 50, 1 day","Simple moving average, 200, 1 day","Exponential moving average, 20, 1 day"
JINDWORLD,Jindal Worldwide Limited,6.791353030318754,19.439252336448597,55.39043501756282,43.77499999999999,87.63458401305057,149.82623805386618,52.95212765957445,748.2300884955752,Textiles,57.51,INR,57.78,INR,35.70579999999993,29.329849999999986,40.06867141082798
NIACL,New India Assurance Co. Ltd.,10.00791138708157,17.70337377770951,22.946524064171122,29.89265536723164,51.565693190058674,65.40287769784173,9.226091500783879,-38.690666666666665,Multi-line insurance,229.91,INR,234.39,INR,181.46940000000004,161.70705000000007,190.0465624742115
RML,Rane (Madras) Limited,74.4139810643426,14.945893205605817,14.559759547383312,10.195578231292524,40.65993704547923,59.987654320987666,49.650672671632314,1300.216054017848,Auto parts: OEM,1295.9,INR,1333,INR,1156.4889999999987,898.6022500000003,1136.715458918606
SMLMAH,SML Mahindra Limited,4.447114934615168,9.998253580160672,20.154521175124,16.423290203327173,66.18733509234829,43.44112958323844,56.46892234312118,1579.6,Motor vehicles,6298.5,INR,6298.5,INR,4756.720000000001,4122.4784999999965,5323.368648387495
TBZ,Tribhovandas Bhimji Zaveri Limited,0.5240286785374019,9.996568683518255,57.140522875817005,74.22101449275364,173.21022727272728,239.3436838390967,154.9575821845175,310.10660980810235,Other consumer specialties,480.85,INR,480.85,INR,268.2053999999999,184.415,327.28350692944935
MARSONS,Marsons Limited,3.5619870617864513,9.583366525930058,8.82911392405063,26.259752179899035,4.5845054360222015,0.4087591240875929,0.4087591240875929,0.4087591240875929,Electrical products,137.56,INR,175.4,INR,113.817,,120.57801305165191
LALITHAA,Lalithaa Jewellery Mart Limited,0.9764729761763028,9.418480199785934,23.99434000404285,52.587064676616905,52.587064676616905,52.587064676616905,52.587064676616905,52.587064676616905,Specialty stores,306.7,INR,308.3,INR,,,
PURVA,Puravankara Limited,79.73412444785971,9.29935098773035,7.712418300653599,10.365941162401333,8.830188679245284,29.1752981356027,-21.550493029581784,-25.574193548387097,Real estate development,230.72,INR,289.55,INR,217.6929999999997,220.47009999999992,216.5009476242357
HESTERBIO,Hester Biosciences Limited,24.479103969853192,9.251941681428,4.837866108786611,-2.9728530515106217,25.542797494780796,58.51070840197695,17.456907075540798,359.0895990249146,Pharmaceuticals: major,2405.4,INR,2683.6,INR,2361.5020000000018,1811.5329999999992,2336.8175870313735
RGL,Renaissance Global Limited,0.526549584328799,8.853558926487738,10.982229162019467,25.671465858381744,46.31898833447699,38.203703703703695,31.04477611940297,292.7894736842105,Other consumer specialties,149.26,INR,159,INR,123.60040000000001,115.30759999999995,132.9113826763144
DOLPHIN,Dolphin Offshore Enterprises India Ltd.,3.2401656314699796,8.779857972885727,7.290671760585793,65.2365775925472,69.9873896595208,62.625165882494876,56.89013035381749,6083.48623853211,Oilfield services/Equipment,674,INR,681.55,INR,461.76499999999874,421.17549999999994,574.1140129371583
