Ticker,Current Price,52W High,Days Since Peak,Max Base DD %,Prior Leg Gain %,RS vs Nifty (6m) %
DEEDEV.NS,658.25,760.0,57,24.01,79.44,121.94
EXICOM.NS,177.85,182.9,54,23.46,48.69,113.4
PARACABLES.NS,65.51,75.7,46,23.01,54.96,105.01
AEROENTER.NS,141.81,149.12,53,22.9,56.65,104.69
APOLLO.NS,388.9,466.5,45,19.83,38.54,87.84
IDEAFORGE.NS,777.05,992.25,64,22.59,114.99,75.75
GOCLCORP.NS,427.45,459.9,54,17.81,39.79,74.32
ARVIND.NS,552.95,595.24,48,15.84,48.97,70.57
VENUSPIPES.NS,1631.0,1874.41,43,18.55,43.37,62.22
SUNFLAG.NS,343.7,428.0,86,24.46,74.28,55.39
ADANIPOWER.NS,207.2,254.2,70,22.11,54.9,51.33
TEJASNET.NS,614.15,644.75,55,24.3,53.86,46.51
MAYURUNIQ.NS,734.85,899.99,45,20.41,40.16,45.68
KPRMILL.NS,1186.3,1331.08,52,23.75,31.38,45.36
CARBORUNIV.NS,1130.6,1303.79,55,20.77,34.07,44.7
PREMEXPLN.NS,664.0,829.8,48,23.31,44.16,37.97
SAIL.NS,196.8,209.7,81,24.65,32.82,34.0
VENKEYS.NS,1659.6,1800.0,82,24.99,36.03,33.72
SANSTAR.NS,111.31,137.49,52,24.98,47.64,32.92
SANDHAR.NS,624.0,763.2,60,24.66,40.48,28.26
POWERINDIA.NS,31650.0,38775.74,69,21.62,43.65,28.21
NEPHROPLUS.NS,697.05,769.75,60,19.71,31.89,26.0
JASH.NS,478.5,572.85,53,20.73,32.12,25.48
TATACOMM.NS,1756.1,2110.0,54,22.27,32.12,21.84
RELTD.NS,161.37,196.45,41,22.88,39.41,21.36
JINDRILL.NS,663.05,692.38,78,22.91,38.13,19.25
AIAENG.NS,4231.2,5160.6,48,20.06,31.09,17.96
ESABINDIA.NS,6067.5,7287.88,86,24.24,33.08,15.58
ENRIN.NS,3115.7,3968.0,70,22.51,48.13,10.44
UNIONBANK.NS,187.22,199.6,130,23.98,31.7,10.02
APLAPOLLO.NS,2250.0,2301.4,141,24.57,31.16,9.63
SMSPHARMA.NS,392.5,447.8,101,22.01,37.42,6.84
