Ticker,Sector,Industry
20MICRONS.NS,Process Industries,Chemicals: Specialty
21STCENMGM.NS,Finance,Investment Banks/Brokers
360ONE.NS,Finance,Investment Managers
3BBLACKBIO.NS,Process Industries,Chemicals: Agricultural
3IINFOLTD.NS,Technology Services,Information Technology Services
3MINDIA.NS,Producer Manufacturing,Industrial Conglomerates
3PLAND.NS,Finance,Real Estate Development
5PAISA.NS,Finance,Investment Banks/Brokers
63MOONS.NS,Technology Services,Packaged Software
A2ZINFRA.NS,Industrial Services,Engineering & Construction
AAATECH.NS,Technology Services,Information Technology Services
AADHARHFC.NS,Finance,Finance/Rental/Leasing
AAKAAR.NS,Distribution Services,Medical Distributors
AAKASH.NS,Energy Minerals,Oil & Gas Production
AARADHYA.NS,Process Industries,Containers/Packaging
AAREYDRUGS.NS,Health Technology,Pharmaceuticals: Major
AARNAV.NS,Finance,Investment Banks/Brokers
AARON.NS,Producer Manufacturing,Building Products
AARTECH.NS,Commercial Services,Miscellaneous Commercial Services
AARTIDRUGS.NS,Health Technology,Pharmaceuticals: Major
AARTIIND.NS,Process Industries,Chemicals: Major Diversified
AARTIPHARM.NS,Health Technology,Pharmaceuticals: Major
AARTISURF.NS,Process Industries,Chemicals: Major Diversified
AARVI.NS,Commercial Services,Personnel Services
AASTHA.NS,Process Industries,Textiles
AATMAJ.NS,Health Services,Hospital/Nursing Management
AAVAS.NS,Finance,Finance/Rental/Leasing
ABAN.NS,Industrial Services,Contract Drilling
ABANSENT.NS,Distribution Services,Wholesale Distributors
ABB.NS,Producer Manufacturing,Electrical Products
ABBOTINDIA.NS,Health Technology,Pharmaceuticals: Major
ABCAPITAL.NS,Finance,Multi-Line Insurance
ABCOTS.NS,Consumer Non-Durables,Apparel/Footwear
ABDL.NS,Consumer Non-Durables,Beverages: Alcoholic
ABFRL.NS,Retail Trade,Apparel/Footwear Retail
ABH.NS,Health Services,Hospital/Nursing Management
ABHAPOWER.NS,Non-Energy Minerals,Steel
ABINFRA.NS,Industrial Services,Engineering & Construction
ABLBL.NS,Retail Trade,Apparel/Footwear Retail
ABMINTLLTD.NS,Industrial Services,Engineering & Construction
ABMKNO.NS,Technology Services,Packaged Software
ABREL.NS,Process Industries,Textiles
ABSLAMC.NS,Technology Services,Internet Software/Services
ABSMARINE.NS,Transportation,Marine Shipping
ACC.NS,Non-Energy Minerals,Construction Materials
ACCELYA.NS,Technology Services,Packaged Software
ACCENTMIC.NS,Health Technology,Pharmaceuticals: Major
ACCORD.NS,Industrial Services,Engineering & Construction
ACCPL.NS,Health Technology,Pharmaceuticals: Major
ACCURACY.NS,Transportation,Air Freight/Couriers
ACE.NS,Producer Manufacturing,Trucks/Construction/Farm Machinery
ACEINTEG.NS,Technology Services,Data Processing Services
ACETEC.NS,Commercial Services,Miscellaneous Commercial Services
ACGL.NS,Producer Manufacturing,Auto Parts: OEM
ACI.NS,Process Industries,Chemicals: Major Diversified
ACL.NS,Non-Energy Minerals,Construction Materials
ACMESOLAR.NS,Industrial Services,Engineering & Construction
ACSTECH.NS,Process Industries,Textiles
ACTIVEINFR.NS,Industrial Services,Engineering & Construction
ACUTAAS.NS,Health Technology,Pharmaceuticals: Major
ADANIENSOL.NS,Utilities,Electric Utilities
ADANIENT.NS,Distribution Services,Wholesale Distributors
ADANIGREEN.NS,Utilities,Alternative Power Generation
ADANIPORTS.NS,Transportation,Other Transportation
ADANIPOWER.NS,Utilities,Electric Utilities
ADDICTIVE.NS,Technology Services,Internet Software/Services
ADDIND.NS,Process Industries,Textiles
