Date,Industry,Rank,Median_RS
2026-07-15,Electronic Components,1,86.5
2026-07-15,Biotechnology,2,88.0
2026-07-15,Electronics Distributors,3,84.5
2026-07-15,Electronic Production Equipment,4,84.0
2026-07-15,Textiles,5,81.0
2026-07-15,Aerospace & Defense,6,85.5
2026-07-15,Other Transportation,7,65.5
2026-07-15,Electrical Products,8,79.0
2026-07-15,Pharmaceuticals: Other,9,64.5
2026-07-15,Wholesale Distributors,10,73.0
2026-07-15,Telecommunications Equipment,11,75.5
2026-07-15,Pharmaceuticals: Major,12,68.0
2026-07-15,Industrial Specialties,13,71.0
2026-07-15,Medical/Nursing Services,14,63.0
2026-07-15,Medical Specialties,15,59.0
2026-07-15,Semiconductors,16,65.0
2026-07-15,Containers/Packaging,17,72.0
2026-07-15,Regional Banks,18,59.5
2026-07-15,Auto Parts: OEM,19,61.0
2026-07-15,Hospital/Nursing Management,20,64.0
2026-07-15,Metal Fabrication,21,56.0
2026-07-15,Chemicals: Major Diversified,22,59.0
2026-07-15,Specialty Stores,23,64.5
2026-07-15,Internet Retail,24,48.5
2026-07-15,Building Products,25,66.5
2026-07-15,Industrial Machinery,26,57.0
2026-07-15,Chemicals: Specialty,27,53.5
2026-07-15,Air Freight/Couriers,28,61.0
2026-07-15,Electronic Equipment/Instruments,29,56.0
2026-07-15,Food: Major Diversified,30,56.0
2026-07-15,Other Consumer Specialties,31,53.0
2026-07-15,Finance/Rental/Leasing,32,48.0
2026-07-15,Electronics/Appliances,33,50.5
2026-07-15,Forest Products,34,50.0
2026-07-15,Financial Conglomerates,35,52.0
2026-07-15,Food: Specialty/Candy,36,50.0
2026-07-15,Internet Software/Services,37,47.0
2026-07-15,Homebuilding,38,56.5
2026-07-15,Apparel/Footwear,39,52.0
2026-07-15,Home Furnishings,40,44.0
2026-07-15,Investment Banks/Brokers,41,54.0
2026-07-15,Multi-Line Insurance,42,61.0
2026-07-15,Engineering & Construction,43,44.0
2026-07-15,Wireless Telecommunications,44,44.0
2026-07-15,Miscellaneous Commercial Services,45,48.0
2026-07-15,Trucks/Construction/Farm Machinery,46,44.5
2026-07-15,Steel,47,41.0
2026-07-15,Integrated Oil,48,42.0
2026-07-15,Life/Health Insurance,49,38.5
2026-07-15,Movies/Entertainment,50,41.0
2026-07-15,Information Technology Services,51,37.0
2026-07-15,Investment Managers,52,35.5
2026-07-15,Real Estate Development,53,41.0
2026-07-15,Miscellaneous Manufacturing,54,35.0
2026-07-15,Agricultural Commodities/Milling,55,34.0
2026-07-15,Major Banks,56,34.0
2026-07-15,Packaged Software,57,30.0
2026-07-15,Office Equipment/Supplies,58,40.0
2026-07-15,Oilfield Services/Equipment,59,47.0
2026-07-15,Hotels/Resorts/Cruise lines,60,34.0
2026-07-15,Alternative Power Generation,61,32.0
2026-07-15,Restaurants,62,30.0
2026-07-15,Beverages: Alcoholic,63,32.0
2026-07-15,Motor Vehicles,64,33.0
2026-07-15,Oil Refining/Marketing,65,31.0
2026-07-15,Industrial Conglomerates,66,42.0
2026-07-15,Chemicals: Agricultural,67,24.0
2026-07-15,Construction Materials,68,25.5
2026-07-15,Other Metals/Minerals,69,33.0
2026-07-15,Electric Utilities,70,29.0
2026-07-15,Household/Personal Care,71,20.5
2026-07-15,Gas Distributors,72,35.0
2026-07-15,Marine Shipping,73,35.0
2026-07-15,Pulp & Paper,74,32.0
2026-07-15,Major Telecommunications,75,29.5
2026-07-15,Automotive Aftermarket,76,27.5
2026-07-15,Apparel/Footwear Retail,77,27.5
2026-07-15,Aluminum,78,26.0
2026-07-15,Food: Meat/Fish/Dairy,79,23.0
2026-07-15,Tobacco,80,22.0
2026-07-15,Trucking,81,15.0
2026-07-15,Broadcasting,82,6.0
2026-07-15,Other Consumer Services,83,6.0
2026-07-15,Data Processing Services,84,3.0
2026-07-22,Electronic Components,1,87.0
2026-07-22,Electronic Production Equipment,2,91.0
