Sector,Rank,Composite_RS,Date
Nifty Realty,1,13.65087932958031,2026-09-12
Nifty Pharma,2,11.951683256969343,2026-09-12
Nifty Media,3,8.80956371842403,2026-09-12
Nifty Energy,4,8.756124620929166,2026-09-12
Nifty MNC,5,7.654322410203768,2026-09-12
Nifty Metal,6,5.8670584211604595,2026-09-12
Nifty Private Bank,7,5.419984262066839,2026-09-12
Nifty Commodities,8,3.7751435494561503,2026-09-12
Nifty Infra,9,3.3897371130868104,2026-09-12
Nifty Consumption,10,3.2634325241907627,2026-09-12
Nifty Financial Services,11,3.2185875494616707,2026-09-12
Nifty Oil & Gas,12,3.114888334940881,2026-09-12
Nifty Healthcare,13,3.114888334940881,2026-09-12
Nifty Consumer Durables,14,3.114888334940881,2026-09-12
Nifty Auto,15,2.565789375508415,2026-09-12
Nifty Bank,16,2.0644913937917675,2026-09-12
Nifty Services,17,1.534877393070303,2026-09-12
Nifty PSE,18,1.381116265809973,2026-09-12
Nifty IT,19,0.6976292545606563,2026-09-12
Nifty FMCG,20,-0.23971259694188962,2026-09-12
Nifty PSU Bank,21,-0.4388236769520941,2026-09-12
