Ticker,Current_Price,High_52W,Pct_From_High,Avg_Volume,Return_1W,Return_1M,Return_3M,Return_6M,RS_Composite,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,Days_Since_Peak,Max_Base_DD,Prior_Leg_Gain,Vol_Dry_Up,RS_Percentile,Sector,Industry
APOLLO.NS,422.25,466.5,-9.4855305466238,9716390.761904761,8.575470976323185,8.352575512796312,-3.0313496008711582,110.42009460951165,0.4578669516373489,405.5996514862034,398.91720829342705,394.96800048828123,384.9586996459961,311.6111999511719,50,-19.828510182207935,38.5408586538728,False,85,Electronic Technology,Electronic Production Equipment
EMMVEE.NS,346.0,371.54998779296875,-6.876594975749384,3793680.9855072466,6.3960599668510865,6.905609925846012,2.869033364463358,72.77539672966944,0.31991596683061096,332.4370151565905,329.05303166043717,327.92900146484374,315.885500793457,263.32985038757323,41,-17.642306539246565,39.846892288427036,False,79,Electronic Technology,Semiconductors
JSWINFRA.NS,343.1499938964844,355.79998779296875,-3.555366590918796,2254989.964285714,3.0480462151604826,0.5273144165179433,17.1494106918431,35.82674518787803,0.1988578878752378,338.0986085782557,336.7981391764175,333.8060009765625,310.4067114257812,287.08324821472166,44,-12.844289841866107,30.249297772679128,False,70,Industrial Services,Engineering & Construction
ADANIPOWER.NS,209.97000122070312,254.1999969482422,-17.39968381531679,36074784.940476194,1.3368746685613386,1.8777268328870278,-5.673856485403316,43.255775894341774,0.16109386245549256,209.3600415084701,208.7348330948712,210.9602001953125,218.79890090942382,184.7418504333496,75,-22.108574989355766,54.904203533656215,False,65,Utilities,Electric Utilities
PREMEXPLN.NS,668.0,829.7999877929688,-19.498673195128692,690411.4143426295,0.24762129129090038,2.5877255554278777,-2.239131869793687,40.779768177028444,0.16182474950087938,667.3424983002466,666.5935223030386,670.1019982910157,659.6309967041016,574.8205001831054,52,-23.306816850322566,44.16421246850939,False,65,Process Industries,Chemicals: Specialty
GALAPREC.NS,1031.0,1260.0,-18.174603174603178,36842.47011952191,0.68359375,0.6344558321132343,-1.2310174724796563,37.4575050702594,0.1480894732778251,1038.2138435089562,1043.9812330333384,1090.9639916992187,1008.7774975585937,880.4114990234375,49,-23.722224159846228,44.84417892116037,True,63,Producer Manufacturing,Metal Fabrication
TEJASNET.NS,552.6500244140625,644.75,-14.284602650009692,6170183.26984127,-10.013839868959518,2.3047041698806447,-4.944960232668438,30.20379515138285,0.10057586837832785,562.2135185362669,551.9016080875514,535.2009985351563,530.2944995117188,471.57199935913087,60,-24.303995689341797,53.85644174840329,False,57,Electronic Technology,Telecommunications Equipment
SAIL.NS,179.0,209.6999969482422,-14.639960608020186,21619185.825396825,-9.044716857588897,6.118098039080877,-1.0995112618189418,19.420909152636856,0.07757658204566346,186.7910842825785,185.1805150358689,174.95199951171875,180.968299407959,165.9027997970581,86,-24.649500807653467,32.81740118867689,False,52,Non-Energy Minerals,Steel
SANDHAR.NS,618.5999755859375,758.3330403781767,-18.426345332725457,318752.2988047809,-0.8409372968356088,-0.6272699266740567,-11.954438993447013,26.770542841120083,0.06912337723395558,628.626761833047,633.3513434645431,633.1270129394532,626.6568347167969,571.3899369812011,64,-24.6593308778153,40.47548293754395,True,50,Consumer Durables,Motor Vehicles
POWERINDIA.NS,31435.0,38775.74235339215,-18.931274832833655,146222.69322709163,-1.765625000000004,-12.171769360090767,-9.374535462510414,26.376632157668634,0.05127375852296176,32007.13209925765,32575.386318485365,32794.4058984375,33690.7236328125,27874.098422851563,73,-21.619185640637994,43.65251762571349,False,47,Electronic Technology,Electronic Equipment/Instruments
UNIONBANK.NS,178.10000610351562,199.59697275189,-10.770186717759634,14725090.345238095,-4.871271796669019,-4.504018175058643,7.50372354432236,5.451085380874177,0.030436204009677482,183.2345977311883,183.4495405992485,177.6229998779297,170.40269989013672,169.26407737731932,135,-23.981703326548644,31.703346076638827,False,43,Finance,Major Banks
ENRIN.NS,3181.300048828125,3968.0,-19.826107640420233,620686.0317460317,2.10546903374238,-10.667749847035047,-11.848481949802103,13.743793482285692,0.0001996974194087538,3197.330554727456,3255.054109597546,3346.6180029296875,3413.8430053710936,3078.2824694824217,75,-22.505040322580648,48.13498000379954,False,36,Producer Manufacturing,Electrical Products
