Ticker,Industry,Sector,Current_Price,High_52W,Pct_From_High,Return_3M,Return_6M,RS_Percentile,Industry_Rank,Avg_Volume,EMA_10,EMA_20,SMA_50,SMA_100,SMA_200,Days_Since_Peak,Max_Base_DD,Prior_Leg_Gain,Vol_Dry_Up
HFCL.NS,Electrical Products,Producer Manufacturing,233.69000244140625,256.70001220703125,-8.963774316873497,23.658592297952865,224.70473597016172,97,17,29032722.833333332,237.12315829106308,233.37849542343804,220.4521990966797,194.54849952697754,132.7508498573303,9,-15.212316499249956,10.73127349061609,True
PRIZOR.NS,Wholesale Distributors,Distribution Services,1217.1500244140625,1248.8499755859375,-2.5383314082223496,41.323660309325106,215.32384052177784,97,5,25113.253012048193,1171.742723072883,1096.452599419183,934.1169995117187,839.0245007324219,584.3019997406005,2,-3.955641220306294,55.619934652453274,False
BIRLACABLE.NS,Electrical Products,Producer Manufacturing,392.3500061035156,393.3500061035156,-0.25422651188082845,93.7160716901007,190.2039403011488,97,17,88067.356,349.05892680314327,320.52484764620726,251.4094451904297,218.43471420288085,176.58807914733887,0,0.0,110.0050342959369,False
ATHERENERG.NS,Motor Vehicles,Consumer Durables,1656.0,1744.0,-5.045871559633031,65.9235529536937,134.89361702127658,95,9,3883960.801587302,1613.1296534830922,1567.7472292769512,1411.0539990234374,1194.1199993896485,955.1129989624023,8,-10.498851811120268,51.28879646867253,False
MARINE.NS,Wholesale Distributors,Distribution Services,419.1499938964844,449.66979114957604,-6.787157566237245,70.06194609125606,129.9028754709155,95,5,658914.5099601593,412.61232877973987,393.8105887234111,326.81216796875,286.20241119384764,240.41544494628906,5,-13.269690854044446,73.4784276104134,True
CONFIPET.NS,Specialty Stores,Retail Trade,89.22000122070312,91.30000305175781,-2.2782056533728,28.07923705182511,144.17076897989318,94,2,2529402.464285714,84.70458026059683,81.93516495588335,77.83780044555664,71.84640018463135,54.50895017623901,2,-9.11281425709003,20.318520899833192,False
DEEPINDS.NS,Oilfield Services/Equipment,Industrial Services,774.4000244140625,825.0,-6.133330374053026,54.297640533732604,127.82867863435348,94,15,376161.7091633466,751.2192227164529,713.1157262926461,602.4309625244141,541.2073016357422,474.6457386779785,2,-7.878787878787874,70.90231934591911,False
INDOTECH.NS,Electrical Products,Producer Manufacturing,3522.89990234375,4030.0,-12.5831289741005,31.62338510531477,156.1363850378401,94,17,37831.32,3638.090099839389,3644.688367167848,3534.2179931640626,3099.6419921875,2289.4424951171877,13,-14.08684742361973,24.942412786603228,True
ANTELOPUS.NS,Integrated Oil,Energy Minerals,1139.3499755859375,1218.300048828125,-6.4803472115205984,50.89729077624223,109.94102634206206,93,4,554401.7142857143,1027.3437118346617,950.5331705330732,859.4140002441407,814.8024969482422,661.3349980163574,2,-10.490030674385597,41.35138905703744,False
RPTECH.NS,Electronics Distributors,Distribution Services,819.6500244140625,965.4798808795799,-15.104391023939534,23.98654175759283,139.68922307106396,92,1,491746.09920634923,816.9334553162616,820.9240367697857,812.9878723144532,699.5465573120117,532.026683807373,27,-27.11396413916567,70.62268257965823,False
AEGISLOG.NS,Wholesale Distributors,Distribution Services,1353.5999755859375,1497.800048828125,-9.627458174741632,38.055449314596416,126.08614185246556,92,5,1374506.262948207,1302.915561453895,1301.2446963543357,1312.633916015625,1078.2054418945313,882.8060598754882,26,-21.217788654551782,52.0099152114756,False
DPEL.NS,Electrical Products,Producer Manufacturing,641.9000244140625,655.0,-1.999996272662219,31.5368902487833,119.49051038495035,91,17,53528.0,604.6102366425225,589.4305267734749,571.6080017089844,532.6119992065429,425.5469994354248,0,0.0,9.01834879788832,False
SMLMAH.NS,Motor Vehicles,Consumer Durables,6583.0,6654.0,-1.0670273519687412,68.10965321139446,80.18119444423284,90,9,102392.21428571429,6100.168392820661,5760.83626227005,4998.48201171875,4409.136232910157,4215.2934533691405,1,-8.859332732191161,53.30516593704486,False
PARAS.NS,Aerospace & Defense,Electronic Technology,1435.5999755859375,1583.9105379095645,-9.363569391953563,29.63835433724016,114.80075911725632,90,3,1755857.0119521911,1444.1285432733923,1423.6271073107694,1330.4643408203126,1147.7058068847657,910.3507006835938,14,-14.086053709567425,21.548123141014884,False
SHREEJISPG.NS,Other Transportation,Transportation,691.75,721.5,-4.123354123354128,47.71514371805119,91.11755122813119,89,6,1069103.611111111,683.988536593736,666.6337982120901,629.8319952392578,542.3154977416992,450.75610092163083,1,-4.857933166038631,19.717946169381896,False
TDPOWERSYS.NS,Electrical Products,Producer Manufacturing,804.9000244140625,812.7999877929688,-0.9719443279468276,37.78299621249046,106.4538298940231,89,17,2472469.9166666665,759.9864664163456,740.2708341088284,656.5177673339844,635.9296752929688,516.8297579956055,0,0.0,42.890150236669754,False
BLUESTONE.NS,Specialty Stores,Retail Trade,890.3499755859375,926.0,-3.849894645147134,70.63050908678747,71.88223466909992,88,2,1548616.768924303,852.7516010959889,834.8914343278896,770.2320056152344,639.7655038452149,561.6462518310547,21,-16.83585576825729,73.48942685089001,True
REDINGTON.NS,Electronics Distributors,Distribution Services,393.70001220703125,403.25,-2.368254877363607,64.90959269736531,71.53972944596738,88,1,6750067.78968254,376.02598155938085,363.45788547913753,325.4839990234375,279.6360740661621,263.94951782226565,1,-5.69126155165065,41.97754122940187,False
EXICOM.NS,Electrical Products,Producer Manufacturing,182.27999877929688,189.1699981689453,-3.6422262813023187,8.564625018198768,112.74509585673478,88,17,2126488.26984127,174.91404158657184,169.39144943469188,163.25979858398438,152.80109924316406,127.62089946746826,3,-9.61039956216785,11.400709319408953,False
KMEW.NS,Trucks/Construction/Farm Machinery,Producer Manufacturing,2869.199951171875,3175.0,-9.63149760088583,44.28966312154261,88.10724836574002,87,20,176674.0,2932.310434385146,2868.5312667661788,2632.2900048828124,2333.7919970703124,2006.2287451171876,6,-11.429918184055122,38.869777251553074,False
CHENNPETRO.NS,Oil Refining/Marketing,Energy Minerals,1572.9000244140625,1677.5,-6.23546799320045,38.7097531219444,80.18896968095991,86,10,2332977.134920635,1498.6667476891807,1438.1379436134544,1289.4734228515624,1171.3812127685546,1022.5086846923828,0,0.0,36.72258324378681,False
STALLION.NS,Wholesale Distributors,Distribution Services,225.08999633789062,423.79998779296875,-46.88768220355642,16.97848377498734,105.80597118520689,86,5,1777506.3095238095,219.46284805765958,221.76396549208997,228.05960052490235,200.6638998413086,183.84180389404298,226,-76.5644165748907,109.64477016535841,True
MTARTECH.NS,Aerospace & Defense,Electronic Technology,7312.5,8714.0,-16.08331420702318,-0.42892156862744946,108.09618668184405,85,3,716974.047808765,7233.509560057088,7090.130214853953,6676.1,6938.825004882812,5069.246999511719,59,-40.394767041542345,62.95337176470455,False
FINCABLES.NS,Electrical Products,Producer Manufacturing,1424.0,1498.0,-4.939919893190925,35.873051370214036,67.5397217903819,84,17,579747.4444444445,1319.1575211181441,1271.8378068178242,1139.6770983886718,1103.3351098632813,952.4839114379882,0,0.0,40.975139211857496,False
GCSL.NS,Investment Banks/Brokers,Finance,600.7000122070312,616.9000244140625,-2.626035267613769,39.54773285086968,64.80013489611443,84,18,276007.812,587.1517308596868,564.8922841067308,527.3070642089843,465.31209564208984,402.8992704772949,1,-3.047503336700541,19.96097322789634,False
KALYANKJIL.NS,Specialty Stores,Retail Trade,601.1500244140625,646.3128397837881,-6.987763910869238,57.59866435653513,54.78981696934988,83,2,9897274.159362549,601.6088039881816,597.7339848356748,568.3918377685546,470.56049285888673,451.6103039550781,30,-14.246086906142674,75.2554354393591,True
AEQUS.NS,Aerospace & Defense,Electronic Technology,225.97000122070312,274.3900146484375,-17.646419637308075,13.564180356160605,93.4674617436171,83,3,5454990.952879582,236.17323262079515,240.32578413873907,241.54140045166017,222.12850006103517,,46,-21.644378978051016,25.87552528837973,True
IKIO.NS,Electrical Products,Producer Manufacturing,223.8699951171875,248.8800048828125,-10.049023334518658,37.87645614918787,67.66775610668671,83,17,681360.326693227,215.89746185402083,210.08576767845906,205.61799957275392,181.83979934692383,167.80274971008302,250,-58.40164065086508,0.0,False
QUADFUTURE.NS,Electrical Products,Producer Manufacturing,478.5,511.79998779296875,-6.506445601252953,16.28189550425274,61.219683180639194,82,17,1185318.884920635,434.78546315513165,418.38722408400884,395.68000061035156,371.2825,336.4334999084473,0,0.0,18.14814814814816,False
HONASA.NS,Specialty Stores,Retail Trade,471.1499938964844,506.64561650495574,-7.006006062646786,18.402446483180434,76.27192974443804,81,2,1533197.278884462,473.4963225598761,472.9522828453767,467.02453552246095,428.21554077148437,358.9358174133301,19,-8.41724770050164,15.823010031044294,True
APARINDS.NS,Electronic Equipment/Instruments,Electronic Technology,17500.0,18401.11382486979,-4.8970613053428425,9.850850498141739,85.71020109658143,81,12,118715.29880478088,17346.616311449696,17045.392122061538,15609.22259765625,14659.836171875,11971.363806152343,21,-12.271859252714156,11.780405834270802,False
ESAFSFB.NS,Regional Banks,Finance,39.61000061035156,44.9900016784668,-11.958214864193305,27.69181181761713,63.54253399384404,80,19,1178988.920318725,41.220232515854306,41.31607461566285,39.36579986572266,34.37739995956421,30.142949924468994,10,-13.691930690370302,30.922392640572415,True
CRAFTSMAN.NS,Trucks/Construction/Farm Machinery,Producer Manufacturing,11669.0,11999.0,-2.750229185765485,25.12840812048043,59.48726200067951,80,20,71029.859437751,11400.67264248793,11070.482683735603,10192.831640625,9470.283466796875,8419.303510742187,2,-6.400533377781481,29.071927820000987,False
OPTIEMUS.NS,Electronics Distributors,Distribution Services,566.25,713.0,-20.582047685834503,32.564674725765094,58.72459705676243,80,1,216271.52,563.6450561500662,566.9350515877122,575.7689990234375,504.38999938964844,468.45300033569333,239,-59.60729312762973,7.243524271194279,True
